_id,Neighborhood,EstimateTotal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,Allegheny Center,72,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,29,12,0,0,0,0,0,0,0,0
2,Allegheny West,69,4,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,4,15,21,0,0,0,11,0,0
3,Allentown,538,45,19,22,44,100,49,24,97,58,41,20,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0
4,Arlington,492,12,29,5,43,27,45,49,87,103,21,37,7,9,0,6,0,0,2,0,0,0,7,0,3,0,0
5,Arlington Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Banksville,985,26,0,0,0,0,0,0,0,93,47,32,88,57,65,155,149,173,41,14,18,10,0,0,17,0,0
7,Bedford Dwellings,48,4,5,8,13,3,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0
8,Beechview,2065,0,0,0,0,9,39,45,125,162,311,445,311,171,191,135,35,14,31,27,0,7,0,7,0,0,0
9,Beltzhoover,556,4,19,45,84,54,17,28,133,29,31,13,24,27,19,9,7,0,13,0,0,0,0,0,0,0,0
10,Bloomfield,1688,5,23,5,15,0,17,4,58,75,56,121,168,97,236,139,163,121,152,72,87,41,26,3,4,0,0
11,Bluff,79,0,5,13,10,0,7,0,9,3,3,4,4,7,5,0,0,0,0,0,3,0,6,0,0,0,0
12,Bon Air,305,2,7,0,0,0,6,0,0,17,32,75,60,52,10,4,14,0,20,0,0,6,0,0,0,0,0
13,Brighton Heights,2206,14,6,0,14,24,22,55,79,47,108,263,222,240,399,330,219,117,29,0,0,0,0,18,0,0,0
14,Brookline,4245,47,47,6,39,10,15,49,71,206,428,670,672,619,675,306,160,74,45,23,42,0,10,23,0,0,8
15,California-Kirkbride,114,0,7,0,8,0,11,6,0,31,0,3,0,0,30,0,5,6,7,0,0,0,0,0,0,0,0
16,Carrick,2624,11,46,43,22,56,65,112,297,385,347,403,230,197,212,28,70,15,48,0,9,4,24,0,0,0,0
17,Central Business District,397,0,0,0,0,0,0,0,14,0,11,30,12,0,28,19,37,0,71,33,16,46,58,12,10,0,0
18,Central Lawrenceville,1015,0,14,0,7,8,0,9,67,78,48,39,70,23,147,99,125,46,83,61,58,24,9,0,0,0,0
19,Central Northside,541,11,0,6,0,5,0,0,12,17,18,5,9,6,49,28,48,36,87,89,89,26,0,0,0,0,0
20,Central Oakland,193,0,0,0,0,0,0,0,0,0,0,26,19,12,62,11,40,0,7,8,0,0,0,0,0,0,8
21,Chartiers City,186,0,8,0,0,0,3,13,16,13,50,0,30,10,38,5,0,0,0,0,0,0,0,0,0,0,0
22,Chateau,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
23,Crafton Heights,1034,0,9,28,13,26,31,39,6,102,77,155,165,110,114,78,42,16,18,0,0,0,0,0,0,0,5
24,Crawford-Roberts,226,7,6,0,0,0,7,0,0,9,31,8,32,12,33,15,0,66,0,0,0,0,0,0,0,0,0
25,Duquesne Heights,837,7,10,0,0,0,0,9,28,51,74,73,150,34,93,81,70,7,24,24,62,28,5,0,7,0,0
26,East Allegheny,435,8,24,15,31,0,0,38,35,23,0,0,0,16,7,27,41,35,23,57,48,0,0,0,7,0,0
27,East Carnegie,142,0,0,0,0,8,0,0,5,26,32,13,28,6,6,0,13,0,0,0,5,0,0,0,0,0,0
28,East Hills,561,0,7,29,14,36,35,16,100,42,90,55,71,25,17,8,0,0,0,0,8,0,8,0,0,0,0
29,East Liberty,427,0,0,0,20,0,35,7,30,32,17,75,12,11,17,8,28,26,42,24,32,0,0,0,11,0,0
30,Elliott,563,0,0,59,22,49,71,41,91,55,62,39,23,7,12,7,5,0,0,9,0,11,0,0,0,0,0
31,Esplen,100,0,0,0,21,18,9,4,34,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
32,Fairywood,98,7,0,13,0,0,13,0,8,37,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Fineview,237,3,0,0,7,19,12,14,26,10,20,29,7,8,40,10,24,0,4,0,0,0,0,0,4,0,0
34,Friendship,79,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,35,11,11,0,0,0,0,0,0,0
35,Garfield,628,54,9,24,34,11,51,24,62,44,84,51,17,22,30,31,40,3,12,10,5,10,0,0,0,0,0
36,Glen Hazel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Greenfield,1996,22,0,14,24,0,0,10,54,29,68,145,127,95,345,246,357,168,209,27,25,0,18,13,0,0,0
38,Hays,93,0,0,13,5,0,5,7,17,18,5,14,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
39,Hazelwood,1016,19,0,49,44,52,43,52,27,64,119,62,84,53,85,67,75,51,32,18,11,0,0,9,0,0,0
40,Highland Park,1488,0,8,0,0,0,13,0,10,0,0,60,96,32,90,129,155,130,67,144,327,166,47,0,14,0,0
41,Homewood North,540,15,1,63,76,21,80,46,122,17,25,13,23,5,4,5,6,17,1,0,0,0,0,0,0,0,0
